nombres,apellidos,tipo_identificacion,numero_identificacion,correo_electronico
Juan,Gomez,CC,45231985,juan.gomez@example.com
Ana,Martinez,TI,78342119,ana.martinez@mail.com
Luis,Rodriguez,CC,21483957,luis.rodriguez@test.com
Carlos,Sanchez,CE,89237491,carlos.sanchez@example.com
Maria,Lopez,NIT,34789213,maria.lopez@test.com
Pedro,Perez,CC,62389127,pedro.perez@mail.com
Sofia,Ramirez,TI,34127849,sofia.ramirez@example.com
Jose,Diaz,CE,98127345,jose.diaz@test.com
Laura,Hernandez,CC,71583920,laura.hernandez@mail.com
Pablo,Torres,NIT,18234789,pablo.torres@example.com
Iker,Zabaleta,CC,23456789,iker.zabaleta@example.com
Nahia,Mendieta,TI,87654321,nahia.mendieta@mail.com
Gael,Lizarraga,NIT,98765432,gael.lizarraga@test.com
Amaia,Otxoa,CC,19283746,amaia.otxoa@mail.com
Eneko,Etxebarria,CE,87632145,eneko.etxebarria@test.com
Irati,Gallastegui,NIT,56789012,irati.gallastegui@example.com
Asier,Iturralde,CC,65748392,asier.iturralde@mail.com
Leire,Arrillaga,TI,98123746,leire.arrillaga@test.com
Unai,Goikoetxea,CE,89321745,unai.goikoetxea@mail.com
Aratz,Lertxundi,NIT,92381765,aratz.lertxundi@example.com
